Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
58.3,375597,224,1676.8,736.0,640,14464,2798.8,[CUDA memcpy Device-to-Host]
21.9,141090,234,602.9,608.0,256,5280,457.5,[CUDA memcpy Host-to-Device]
14.5,93153,118,789.4,800.0,768,832,16.8,[CUDA memcpy Device-to-Device]
5.3,34082,90,378.7,320.0,224,928,146.2,[CUDA memset]
