Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.5,124778915,2304,54157.5,20969.5,3897,2711156,109274.8,cudaMemcpyAsync
20.7,79609645,23445,3395.6,2885.0,451,445494,7920.0,cudaEventQuery
14.7,56527936,644,87776.3,4193.0,380,13916848,1054328.1,cudaMallocAsync
8.3,31870445,848,37583.1,12022.5,4128,1188700,117782.5,cudaLaunchKernel
7.3,28074666,2200,12761.2,1974.0,291,943261,48223.4,cudaStreamSynchronize
3.1,11902663,116,102609.2,61727.0,220,1305242,213305.4,cudaEventDestroy
3.1,11770380,4,2942595.0,2503402.0,2360062,4403514,977828.4,cudaHostAlloc
2.8,10845667,660,16432.8,7694.5,2395,275493,24992.2,cudaEventRecord
1.2,4741821,56,84675.4,48807.5,2414,448135,114496.4,cudaStreamCreateWithFlags
1.1,4348561,4,1087140.3,801454.5,10430,2735222,1160591.8,cudaFreeHost
1.1,4201556,360,11671.0,7389.0,2875,297109,22853.5,cudaMemsetAsync
1.0,3937794,12,328149.5,326989.0,3907,1358779,372663.3,cudaMalloc
0.9,3539626,16,221226.6,118501.0,591,1142163,292580.6,cudaFree
0.9,3501337,4,875334.3,898310.5,103737,1600979,754211.2,cuLibraryLoadData
0.5,1739195,644,2700.6,702.0,341,854357,33749.0,cudaFreeAsync
0.4,1551019,56,27696.8,2635.0,882,657724,90993.9,cudaStreamDestroy
0.2,638892,16,39930.8,18745.5,3957,335175,80308.5,cudaDeviceSynchronize
0.1,351195,116,3027.5,947.0,190,97530,11726.3,cudaEventCreateWithFlags
0.1,324087,848,382.2,375.0,70,12003,526.5,cuKernelGetName
0.0,12595,11,1145.0,822.0,421,5340,1410.1,cuLibraryGetKernel
0.0,5110,3,1703.3,2144.0,541,2425,1016.4,cudaGetDriverEntryPointByVersion
0.0,4839,2,2419.5,2419.5,1703,3136,1013.3,cuInit
0.0,4218,1,4218.0,4218.0,4218,4218,0.0,cuModuleGetLoadingMode
0.0,1143,4,285.8,230.5,221,461,116.9,cudaGetDeviceProperties
