Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
63.0,1870966,896,2088.1,960.0,608,14529,2949.3,[CUDA memcpy Device-to-Host]
20.1,596792,936,637.6,672.0,224,8384,597.8,[CUDA memcpy Host-to-Device]
12.6,373873,472,792.1,800.0,768,896,19.3,[CUDA memcpy Device-to-Device]
4.3,126148,360,350.4,320.0,224,928,118.5,[CUDA memset]
