Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.7,2905509759,2304,1261071.9,19316.5,3307,186869166,12711490.2,cudaMemcpyAsync
36.9,2345545828,44,53307859.7,3309625.5,5160,186941926,73920483.4,cudaFreeHost
8.3,524853912,848,618931.5,7188.5,3967,186781713,9766218.5,cudaLaunchKernel
2.9,182681126,56,3262163.0,44536.5,1684,176861751,23620331.9,cudaStreamDestroy
2.1,131471272,56,2347701.3,6757.5,1362,127630267,17046333.8,cudaStreamCreateWithFlags
1.2,74618091,23680,3151.1,2695.0,430,67148,1548.4,cudaEventQuery
0.9,57690035,644,89580.8,4037.5,371,13801915,1081146.7,cudaMallocAsync
0.8,50547960,116,435758.3,1067.5,131,31735394,3085363.0,cudaEventDestroy
0.4,27426708,2200,12466.7,1764.0,280,812763,47921.6,cudaStreamSynchronize
0.3,21026667,44,477878.8,10700.0,3306,3549774,846759.7,cudaHostAlloc
0.3,21020965,660,31849.9,7254.0,2345,3760599,212613.4,cudaEventRecord
0.1,4810487,360,13362.5,6472.0,2705,554341,49861.1,cudaMemsetAsync
0.1,3677522,12,306460.2,310835.0,3477,877165,265077.7,cudaMalloc
0.0,3131765,4,782941.3,828122.0,74902,1400619,705459.1,cuLibraryLoadData
0.0,2515868,16,157241.8,7700.0,641,628202,203436.0,cudaFree
0.0,1237034,644,1920.9,761.0,320,382536,15220.3,cudaFreeAsync
0.0,661195,16,41324.7,4664.0,742,344102,98076.2,cudaDeviceSynchronize
0.0,291158,848,343.3,151.0,70,13976,568.9,cuKernelGetName
0.0,166775,116,1437.7,891.5,170,23986,2700.8,cudaEventCreateWithFlags
0.0,13198,11,1199.8,812.0,491,5381,1394.8,cuLibraryGetKernel
0.0,4057,1,4057.0,4057.0,4057,4057,0.0,cuModuleGetLoadingMode
0.0,4048,2,2024.0,2024.0,1533,2515,694.4,cuInit
0.0,3446,3,1148.7,681.0,651,2114,836.1,cudaGetDriverEntryPointByVersion
0.0,1263,4,315.8,286.0,220,471,108.8,cudaGetDeviceProperties
