case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,0,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040083189999999998
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,1,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040475329999999999
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,2,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040096510000000004
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,3,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040752760000000001
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,4,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040371440000000003
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,5,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0041270439999999999
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,6,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040717089999999997
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,7,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.004011705
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,8,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040021370000000002
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,9,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040106930000000001
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,10,1,2564,2564,1,7130,102,1.2899953760707049e-07,0,2.1999999999999998e-07,0,0.0040180670000000002
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,0,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00060565
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,1,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00059348699999999996
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,2,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00057834800000000001
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,3,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00055665700000000001
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,4,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00060828499999999997
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,5,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00057896900000000003
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,6,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00055559499999999998
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,7,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00056921100000000002
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,8,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00059978899999999999
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,9,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00056083399999999996
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,10,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00058550099999999999
