case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rlc_r0.02_a100_t0.001_b0,1,1,0,0,765,934,170,3642,140,2.8228324001850993,2.7362440102098802,0.50000199999999995,0.50000001999999999,0.0025300930000000002
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,0,0,0,1,510,585,76,5265,585,2.5445575947047241e-06,2.514973392938962e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.0030723819999999998
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,0,1,0,1,542,598,57,5382,598,2.0970255275453049e-06,2.1630415662228075e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.0031630030000000002
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,1,0,0,1,517,595,79,2679,149,2.4660083572070838e-06,2.4749649670478672e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.001831687
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,1,1,0,1,544,598,55,2646,142,2.0640827649320327e-06,2.1421018682533152e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.001793855
rlc_r0.5_a1_t9.9999999999999995e-07_b0,0,0,0,1,652,799,148,7191,799,0.0019131658405742158,0.0020112964372204223,0.0050020000000000004,0.00500002,0.0042298689999999998
rlc_r0.5_a1_t9.9999999999999995e-07_b0,0,1,0,1,666,802,137,7218,802,0.0016656720659689039,0.0017396272664265133,0.0050020000000000004,0.00500002,0.0041941510000000001
rlc_r0.5_a1_t9.9999999999999995e-07_b0,1,0,0,1,656,796,141,3354,161,0.0018622244228603257,0.0019737302517635058,0.0050020000000000004,0.00500002,0.0023161969999999999
rlc_r0.5_a1_t9.9999999999999995e-07_b0,1,1,0,1,674,807,134,3387,161,0.0016376239736870524,0.0017214376515816143,0.0050020000000000004,0.00500002,0.0022965799999999999
rlc_r0.5_a1_t0.001_b400,0,0,0,1,652,799,148,7191,799,0.0019131662451883358,0.0020112969032872186,0.0050020000000000004,0.00500002,0.0042344269999999998
rlc_r0.5_a1_t0.001_b400,0,1,0,1,666,802,137,7218,802,0.001665672442726418,0.0017396276189403093,0.0050020000000000004,0.00500002,0.0042170050000000002
rlc_r0.5_a1_t0.001_b400,1,0,0,1,656,796,141,3354,161,0.0018622248532409458,0.0019737306736781202,0.0050020000000000004,0.00500002,0.0022643279999999999
rlc_r0.5_a1_t0.001_b400,1,1,0,1,674,807,134,3387,161,0.0016376243910087851,0.001721438065189429,0.0050020000000000004,0.00500002,0.0023239720000000001
rlc_r0.5_a100_t0.001_b0,0,0,0,1,686,826,141,7434,826,0.19115136872744642,0.20081774151415743,0.50000199999999995,0.50000001999999999,0.0043254610000000001
rlc_r0.5_a100_t0.001_b0,0,1,0,1,706,847,142,7623,847,0.16640130882299786,0.17400521393754786,0.50000199999999995,0.50000001999999999,0.0044748840000000002
