case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,0,1,0,0,596,688,93,6192,688,3.651751449884296e-05,3.5149179267866988e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.0037832970000000001
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,1,0,0,0,586,678,93,2736,117,3.8124513149944794e-05,3.6767396241941868e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.0019610949999999999
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,1,1,0,0,595,684,90,2754,117,3.6553445575038929e-05,3.5194615190546727e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.0019374399999999999
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,2,0,0,0,561,633,73,2643,124,3.9748119054622754e-05,3.834639258550889e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.0019506460000000001
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,2,1,0,0,570,637,68,2613,117,3.7969612118269051e-05,3.6609935768897213e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.001849423
rlc_r0.02_a1_t9.9999999999999995e-07_b0,0,0,0,0,737,903,167,8127,903,0.028383404029640236,0.027525555097784205,0.0050020000000000004,0.00500002,0.0048643710000000001
rlc_r0.02_a1_t9.9999999999999995e-07_b0,0,1,0,0,740,912,173,8208,912,0.028148656180569165,0.027284713572854447,0.0050020000000000004,0.00500002,0.0049096160000000003
rlc_r0.02_a1_t9.9999999999999995e-07_b0,1,0,0,0,732,894,163,3498,136,0.028452616277992115,0.027588496180574684,0.0050020000000000004,0.00500002,0.0025056700000000002
rlc_r0.02_a1_t9.9999999999999995e-07_b0,1,1,0,0,738,907,170,3573,142,0.028187443324742323,0.027323949309206119,0.0050020000000000004,0.00500002,0.002528574
rlc_r0.02_a1_t9.9999999999999995e-07_b0,2,0,0,0,678,795,118,3195,135,0.030178009379947635,0.029263021361929265,0.0050020000000000004,0.00500002,0.0022676979999999998
rlc_r0.02_a1_t9.9999999999999995e-07_b0,2,1,0,0,681,801,121,3207,134,0.029881598224112738,0.02896238863306777,0.0050020000000000004,0.00500002,0.0022821249999999999
rlc_r0.02_a1_t0.001_b400,0,0,0,0,737,903,167,8127,903,0.028383404188815575,0.027525554825554743,0.0050020000000000004,0.00500002,0.0048684879999999998
rlc_r0.02_a1_t0.001_b400,0,1,0,0,740,912,173,8208,912,0.028148646467883509,0.027284703610332306,0.0050020000000000004,0.00500002,0.0049065610000000003
